UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.13, hostname=62.40.114.3, capacity=70000000000, capacityValueUnits=null, direction=out, description=Link (AggEthernet) to MX1.GEN.CH (AE3), startTime=1397080843955, endTime=1397098903955, name=ae2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=20000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=1000000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/1/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=1000000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/1/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-4/0/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10737418240, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-4/0/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10737418240, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-4/1/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pfe-4/1/0.16383, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=800000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=pfh-5/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=800000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=pfh-5/0/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=9953000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=9953000000, capacityValueUnits=null, direction=in, description=IP Link to MANLAN (Pr: GBLX. Id: FRO2004663892W92), startTime=1397080843955, endTime=1397098903955, name=xe-3/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.49, capacity=9953000000, capacityValueUnits=null, direction=out, description=IP Link to MANLAN (Pr: GBLX. Id: FRO2004663892W92), startTime=1397080843955, endTime=1397098903955, name=xe-3/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=10000000000, dataSourceType=COUNTER]
